location,location_code,geographic_level,time_period,school_type,perm_excl_rate
Enfield,E09000010,localAuthorityDistrict,201718,Total,0.097545949
Greenwich,E09000011,localAuthorityDistrict,201718,Total,0.032978423
Harrow,E09000015,localAuthorityDistrict,201718,Total,0.121816168
Havering,E09000016,localAuthorityDistrict,201718,Total,0.094571107
Hillingdon,E09000017,localAuthorityDistrict,201718,Total,0.090252708
Hounslow,E09000018,localAuthorityDistrict,201718,Total,0.087616149
Kingston upon Thames,E09000021,localAuthorityDistrict,201718,Total,0.023986568
Merton,E09000024,localAuthorityDistrict,201718,Total,0.031364349
Redbridge,E09000026,localAuthorityDistrict,201718,Total,0.073488556
Richmond upon Thames,E09000027,localAuthorityDistrict,201718,Total,0.040659422
Sutton,E09000029,localAuthorityDistrict,201718,Total,0.050738377
Waltham Forest,E09000031,localAuthorityDistrict,201718,Total,0.068936992
